,Position,Arousal,Score
215,"[-43.4755, 2.919011, 235.0518]",0,0
216,"[-42.47583, 1.271062, 219.9611]",0,0
217,"[-41.92066, 2.114516, 209.269]",0,0
218,"[-41.38297, 1.848347, 201.6791]",0,0
219,"[-41.51008, 1.554453, 195.753]",0,0
220,"[-42.4744, 1.52549, 191.0029]",0,0
221,"[-43.72255, 1.406177, 186.6711]",0,0
222,"[-45.20467, 1.396782, 181.8372]",0,0
223,"[-46.7964, 1.378441, 176.2176]",0,0
224,"[-48.8813, 1.382294, 169.4805]",0,0
225,"[-51.66322, 1.383808, 161.6962]",0,0
226,"[-54.97455, 1.383561, 152.9707]",0,0
227,"[-58.50866, 1.383406, 143.3947]",0,0
228,"[-62.14705, 1.38342, 133.097]",0,0
229,"[-65.85571, 1.383423, 122.2046]",0,0
230,"[-69.4166, 1.384318, 110.9703]",0,0
231,"[-72.29933, 1.383134, 99.6358]",0,0
232,"[-74.4519, 1.383348, 87.83437]",0,0
233,"[-75.91876, 1.384259, 75.8131]",0,0
234,"[-76.38161, 1.383165, 63.96063]",0,0
235,"[-75.86224, 1.38869, 52.15238]",0,0
236,"[-75.05505, 1.38736, 40.37539]",0,0
237,"[-74.13376, 1.388852, 28.50739]",0,0
238,"[-72.66267, 1.387344, 16.76451]",0,0
239,"[-70.56773, 1.388706, 5.045161]",1,0
240,"[-68.54208, 1.387708, -6.53321]",1,0.7766666666666666
241,"[-67.18307, 1.387733, -18.49283]",1,0
242,"[-66.47246, 1.387623, -30.81932]",1,0
243,"[-66.3311, 1.387626, -43.43974]",1,0
244,"[-66.58585, 1.387625, -56.30935]",1,0
245,"[-67.1945, 1.387635, -69.379]",1,0
246,"[-67.80673, 1.38743, -80.20978]",1,0
247,"[-68.14598, 1.387557, -89.00699]",1,0
248,"[-68.28442, 1.414163, -98.62415]",1,0
249,"[-68.27608, 1.354547, -107.0953]",1,0
250,"[-68.29881, 1.375628, -113.2021]",1,0
251,"[-68.4828, 1.585941, -116.5463]",1,0
252,"[-68.82759, 1.655529, -117.9105]",1,0
253,"[-69.39761, 1.581403, -118.4797]",1,0
254,"[-70.46481, 1.532771, -119.0593]",1,0
255,"[-71.2393, 1.491063, -119.2043]",1,0
256,"[-71.23832, 1.455274, -118.6638]",1,0
257,"[-71.54977, 1.442266, -118.565]",1,0
258,"[-72.90495, 1.451434, -119.864]",1,0
259,"[-75.12394, 1.606091, -121.8736]",1,0
260,"[-77.16511, 1.46934, -123.4845]",1,0
261,"[-78.09422, 1.439325, -124.1208]",1,0
262,"[-79.24432, 1.424336, -124.8054]",1,0
263,"[-81.64532, 1.396088, -126.1945]",1,0
264,"[-84.42744, 1.373605, -127.9062]",1,0
265,"[-87.65879, 1.364961, -129.7306]",1,0
266,"[-91.49825, 1.367622, -131.1004]",1,0
267,"[-95.85014, 1.368326, -132.2856]",1,0
268,"[-100.6845, 1.367905, -133.4432]",1,0
269,"[-105.8127, 1.366086, -134.2702]",0,0
270,"[-110.2586, 1.565658, -134.5613]",0,0
271,"[-114.2353, 1.367047, -134.9053]",0,0
272,"[-118.1033, 1.372652, -135.2342]",0,0
273,"[-122.1996, 1.37045, -136.0069]",0,0
274,"[-126.4265, 1.367536, -137.6115]",0,0
275,"[-130.3731, 1.367681, -140.1646]",0,0
276,"[-133.6574, 1.367911, -143.6061]",0,0
277,"[-135.9705, 1.367913, -147.7382]",0,0
278,"[-137.1038, 1.367897, -152.2691]",0,0
279,"[-136.9644, 1.367886, -156.8584]",0,0.7916666666666666
280,"[-135.6387, 1.367852, -161.2691]",0,0
281,"[-133.461, 1.367863, -165.6247]",0,0
282,"[-130.9323, 1.367858, -170.2284]",0,0
283,"[-128.194, 1.367879, -175.094]",0,0
284,"[-125.0372, 1.367829, -179.9784]",0,0
285,"[-121.5409, 1.413736, -184.7602]",0,0
286,"[-117.8958, 1.406288, -189.3745]",0,0
287,"[-113.7295, 1.380751, -193.9843]",0,0
288,"[-108.8387, 1.391027, -199.1417]",0,0
289,"[-103.844, 1.387374, -205.0697]",0,0
290,"[-99.42672, 1.387478, -212.1036]",0,0
291,"[-95.60033, 1.43871, -220.0049]",0,0
292,"[-92.20353, 1.378095, -227.3473]",0,0
293,"[-89.11361, 1.362429, -234.2676]",0,0
294,"[-86.10252, 1.367537, -240.989]",0,0
295,"[-83.09012, 1.410041, -247.4396]",0,0
296,"[-79.85471, 1.421288, -253.4881]",0,0
297,"[-76.12653, 1.39317, -259.1655]",0,0
298,"[-71.29645, 1.385997, -265.0681]",0,0
299,"[-65.51099, 1.387518, -271.6491]",0,0
300,"[-59.02405, 1.388647, -278.6511]",0,0
301,"[-51.84965, 1.387326, -285.4383]",0,0
302,"[-43.70175, 1.387544, -292.1091]",0,0
303,"[-34.85236, 1.388467, -298.5269]",0,0
304,"[-25.90152, 1.425701, -304.0899]",0,0
305,"[-17.92775, 1.353451, -308.4183]",0,0.735
306,"[-10.875, 1.376327, -311.1433]",0,0
307,"[-6.050434, 1.428134, -312.1319]",0,0
308,"[-3.227034, 1.384212, -311.7332]",0,0
309,"[-0.643173, 1.369812, -310.628]",0,0
310,"[2.308774, 1.364985, -309.0282]",0,0
311,"[5.482291, 1.367721, -306.8274]",0,0
312,"[8.999241, 1.368155, -304.1295]",0,0
313,"[12.70846, 1.367905, -300.9347]",0,0
314,"[16.5788, 1.367852, -297.3382]",0,0
315,"[20.59526, 1.367869, -293.4273]",0,0
316,"[24.64907, 1.367881, -289.1937]",0,0
317,"[28.61376, 1.367874, -284.614]",0,0
318,"[32.38158, 1.36788, -279.6843]",0,0
319,"[35.87164, 1.367873, -274.4215]",0,0
320,"[39.12724, 1.367873, -268.886]",0,0
321,"[42.22302, 1.367874, -263.1423]",0,0
322,"[44.69607, 1.464474, -257.4667]",0,0
323,"[45.10226, 1.384554, -253.8593]",0,0
324,"[44.22083, 1.494018, -253.2892]",0,0
325,"[43.93011, 1.349326, -252.5086]",0,0
326,"[44.25086, 1.37622, -251.0921]",0,0
327,"[45.05904, 1.367708, -248.8746]",0,0
328,"[45.78859, 1.362546, -245.9659]",0,0
329,"[46.37399, 1.367764, -242.4231]",1,0
330,"[46.75931, 1.367951, -238.3425]",1,0
331,"[47.40641, 1.367617, -233.7991]",1,0
332,"[48.66955, 1.367864, -229.0141]",1,0
333,"[50.70797, 1.3679, -224.2492]",1,0
334,"[53.43167, 1.367868, -219.5678]",1,0
335,"[56.58113, 1.422341, -214.9]",1,0
336,"[59.69873, 1.412953, -210.1744]",1,0
337,"[62.82998, 1.400826, -205.4427]",1,0
338,"[66.2599, 1.379914, -200.0966]",1,0
339,"[70.41431, 1.388868, -193.9035]",1,0
340,"[75.52483, 1.388283, -186.9697]",1,0
341,"[81.20189, 1.44153, -179.7788]",1,0
342,"[86.29682, 1.389101, -173.2745]",1,0
343,"[90.62847, 1.362068, -167.1587]",1,0
344,"[93.92622, 1.390341, -161.0401]",0,0
345,"[95.96949, 1.39123, -155.0976]",0,0
346,"[96.63587, 1.42226, -149.6848]",0,0.7033333333333334
347,"[95.72067, 1.420468, -144.773]",0,0
348,"[93.48301, 1.413907, -139.9413]",0,0
349,"[90.22704, 1.376424, -134.6583]",0,0
350,"[86.34706, 1.413008, -128.7031]",0,0
351,"[82.28174, 1.395625, -122.3925]",0,0
352,"[78.70194, 1.384838, -115.5595]",0,0
353,"[75.97624, 1.387285, -107.5059]",0,0
354,"[74.15434, 1.38783, -98.36465]",0,0
355,"[72.84311, 1.35594, -89.38158]",0,0
356,"[72.32294, 1.491321, -85.84908]",0,0
357,"[72.2961, 1.43257, -86.39377]",0,0
358,"[72.30013, 1.40703, -86.44922]",0,0
359,"[72.32726, 1.383794, -85.93212]",1,0
360,"[72.46604, 1.36426, -85.61952]",1,0
361,"[72.4529, 1.364921, -85.61248]",1,0
362,"[72.45258, 1.365665, -85.61246]",1,0
363,"[72.45234, 1.365603, -85.61211]",1,0
364,"[72.45228, 1.366267, -85.61247]",1,0
365,"[72.45173, 1.366194, -85.61216]",1,0
366,"[72.45167, 1.366456, -85.61251]",1,0
367,"[72.45197, 1.36664, -85.6123]",1,0
368,"[72.45153, 1.366428, -85.61266]",1,0
369,"[72.45175, 1.366842, -85.61243]",1,0
