,Position,Arousal,Score
165,"[18.98212432861328, 1.5501315593719482, -50.65362548828125]",0,4.0
166,"[16.50929832458496, 1.8684254884719849, -42.978633880615234]",0,4.0
167,"[14.170190811157227, 2.3309178352355957, -35.769126892089844]",0,4.0
168,"[11.744738578796387, 2.898404121398926, -28.985483169555664]",0,4.0
169,"[9.006295204162598, 3.6817333698272705, -21.622966766357422]",0,4.0
170,"[7.45069694519043, 4.647292137145996, -14.366568565368652]",0,4.0
171,"[7.865838050842285, 6.713683128356934, -1.4609086513519287]",0,4.0
172,"[7.925775527954102, 7.7558393478393555, 4.508204460144043]",0,4.0
173,"[7.792203426361084, 8.83471965789795, 11.52230167388916]",0,4.0
174,"[7.681694507598877, 9.807223320007324, 18.957475662231445]",0,4.0
175,"[7.633513450622559, 10.478498458862305, 25.695138931274414]",0,4.0
176,"[7.644102573394775, 11.02164077758789, 32.059818267822266]",0,4.0
177,"[7.680937767028809, 11.421453475952148, 38.23936080932617]",0,4.0
178,"[7.794652462005615, 11.653483390808105, 43.21408462524414]",0,4.0
179,"[8.170088768005371, 11.812613487243652, 48.4078369140625]",0,4.0
180,"[9.048667907714844, 11.897848129272461, 59.14192199707031]",0,4.0
181,"[9.805583953857422, 11.886580467224121, 65.55081939697266]",0,4.0
182,"[11.16658878326416, 11.886892318725586, 73.2596664428711]",0,4.0
183,"[13.225467681884766, 11.887682914733887, 81.96341705322266]",0,4.0
184,"[18.23674201965332, 11.887323379516602, 98.53538513183594]",0,4.0
185,"[21.495647430419922, 11.887612342834473, 107.65206909179688]",0,4.0
186,"[28.485340118408203, 11.887943267822266, 127.64058685302734]",0,4.0
187,"[32.2326545715332, 11.90206241607666, 138.33558654785156]",0,4.0
188,"[32.8783073425293, 11.918384552001953, 156.1052703857422]",0,4.0
189,"[32.47687911987305, 11.913414001464844, 165.45863342285156]",0,4.0
190,"[32.1339111328125, 11.907350540161133, 175.6845703125]",0,4.0
191,"[31.83236312866211, 11.704360008239746, 186.4573211669922]",0,4.0
192,"[31.544771194458008, 11.166576385498047, 197.11436462402344]",0,4.0
193,"[31.28484535217285, 10.290474891662598, 207.69557189941406]",0,4.0
194,"[30.9910945892334, 9.162099838256836, 217.38494873046875]",0,4.0
195,"[30.691051483154297, 7.84013557434082, 226.26528930664062]",0,4.0
196,"[30.448772430419922, 6.281317710876465, 235.37074279785156]",0,4.0
197,"[30.336843490600586, 4.774593830108643, 244.8467254638672]",0,4.0
198,"[30.201738357543945, 3.499140977859497, 254.8357391357422]",0,4.0
199,"[30.09928321838379, 2.4917564392089844, 265.18145751953125]",0,4.0
200,"[29.56700325012207, 1.4528613090515137, 286.84771728515625]",0,4.0
201,"[29.017953872680664, 1.387760877609253, 296.9737243652344]",0,4.0
202,"[28.45723533630371, 1.3887927532196045, 305.2285461425781]",0,4.0
203,"[27.817852020263672, 1.3880888223648071, 311.91937255859375]",0,4.0
204,"[26.73516273498535, 1.3875950574874878, 318.544921875]",0,4.0
205,"[24.947994232177734, 1.3876582384109497, 326.3811950683594]",0,4.0
206,"[22.62733268737793, 1.3876495361328125, 335.2217712402344]",0,4.0
207,"[19.892412185668945, 1.3876392841339111, 344.8903503417969]",0,4.0
208,"[16.82785987854004, 1.3876309394836426, 355.23809814453125]",0,4.0
209,"[13.949710845947266, 1.3881019353866577, 364.9489440917969]",0,5.0
210,"[9.592626571655273, 1.3873521089553833, 381.130615234375]",0,5.0
211,"[7.607544422149658, 1.4099782705307007, 390.3145751953125]",0,5.0
212,"[5.520897388458252, 1.4066730737686157, 399.4402160644531]",0,5.0
213,"[3.6687657833099365, 1.385252594947815, 407.9224853515625]",0,5.0
214,"[1.8454804420471191, 1.3651530742645264, 415.7583923339844]",0,5.0
215,"[-0.002561211585998535, 1.367092251777649, 422.6452331542969]",0,5.0
216,"[-1.775498390197754, 1.3683727979660034, 428.06390380859375]",0,5.0
217,"[-4.026149749755859, 1.3679814338684082, 432.53662109375]",0,5.0
218,"[-7.200411319732666, 1.367844581604004, 436.4571533203125]",0,5.0
219,"[-13.81019115447998, 1.367868185043335, 442.627685546875]",0,5.0
220,"[-17.274307250976562, 1.3771181106567383, 445.7687683105469]",0,5.0
221,"[-20.670665740966797, 1.365943193435669, 449.138916015625]",0,5.0
